Paróquia;Forania;Endereço;Telefone;E-mail;Tipo;Dia da Semana;Horário;Observações;URL
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Domingo;10:00;Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Domingo;18:00;Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Segunda-feira;06:00;7h30 e12h00 Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Terça-feira;06:00;7h30e 12h00 Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Quarta-feira;06:00;7h30 e 12h Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Quinta-feira;06:00;7h30 Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Sexta-feira;06:00;7h30 Avenida Mato Grosso, esquina com a Rua Rui Barbosa;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Quarta-feira;12:15;Hospital Regional;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Domingo;10:00;Hospital Regional;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Quinta-feira;12:00;Prócardio;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Quinta-feira;13:30;Hospital  do Coração;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
Capelania Hospitalar;Centro;Avenida Mato Grosso, esquina com a Rua Rui Barbosa - Centro - Campo Grande;(67) 3317-4863;sebastiaosanto67@gmail.com;Missa;Sexta-feira;09:00;Hospital de Câncer;https://arquidiocesedecampogrande.org.br/paroquias/paroquia-pessoal-nossa-senhora-da-saude/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Domingo;08:00;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Domingo;09:30;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Domingo;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Domingo;19:30;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Sábado;18:00;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Segunda-feira;19:00;;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Terça-feira;12:00;19h00;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
CATEDRAL NOSSA SENHORA DA ABADIA E SANTO ANTÔNIO DE PÁDUA;Centro;Travessa Lídia Baís, 29 - Centro - CEP 79003-120 - Campo Grande/MS;(67) 3321-9886;catedral.santoantonio@hotmail.com;Missa;Quarta-feira;12:00;19h00;https://arquidiocesedecampogrande.org.br/paroquias/catedral-nossa-senhora-da-abadia-e-santo-antonio-de-padua/
